Year,Artist,Album
1980,The Jam,Start!
1980,The Jam,Start!
1980,The Police,Man In A Suitcase
1980,The Police,Voices Inside My Head
1980,The Roches,It's Bad For Me (Album Version)
1980,Twila Paris,I'll See You Sunday
1980,Wailing Souls,Firehouse Rock
1980,Whitesnake,Fool For Your Loving
1981,Alternative TV,Dub In Bed
1981,April Wine,Caught In The Crossfire
1981,Aswad,Ina Your Rights
1981,Black Flag,Room 13
1981,Black Flag,Police Story
1981,Brian Eno And David Byrne,The Jezebel Spirit
1981,Devo,Going Under
1981,Egberto Gismonti,Carta De Amor
1981,Gal Costa,Canta Brasil
1981,George Harrison,Baltimore Oriole (2004 Digital Remaster)
1981,Heaven 17,(We Don't Need This) Fascist Groove Thang
1981,Heaven 17,I'm Your Money (12'' Extended Version) (2006 Digital Remaster)
1981,Jefferson Starship,Stairway To Cleveland
1981,Michael Stanley Band,You're My Love
1981,Michael Stanley Band,Chemistry
1981,Mikey Dread,The Jumping Master
1981,Mötley Crüe,Merry-Go-Round
1981,Orquesta Broadway,Principe Nino - Original
1981,Penguin Café Orchestra,Harmonic Necklace
1981,Phil Collins,I'm Not Moving
1981,Rainbow,Can't Happen Here
1981,Robert Palmer,Some Guys Have All The Luck
1981,Simple Minds,Careful In Career
1981,The Cure,Doubt
1981,The Cure,Primary
1981,The Fabulous Thunderbirds,Mathilda
1981,The Misfits,Halloween II
1981,The Plasmatics,Summer Nite
1981,The Plimsouls,I Want You Back
1981,The Plimsouls,Women
1981,The Rolling Stones,Start Me Up
1981,The Stranglers,It Only Takes Two To Tango
1981,The Sugarhill Gang,8th Wonder
1981,U2,October
1981,Van Halen,"Dirty Movies"" (Album Version)"
1981,Wailing Souls,Old Broom
1982,1. Futurologischer Congress,Machinenfunk
1982,Adam Ant,Friend Or Foe
1982,Adam Ant,Something Girls
1982,Adam Ant,Goody Two Shoes
1982,Al DiMeola,God Bird Change
1982,Alice Cooper,Make That Money (Scrooge's Song) (Album Version)
1982,Alice Cooper,Goin' To The River
1982,Bad Religion,Doing Time (Album Version)
1982,Black Flag,Crass Commercialism
1982,Bruce Rowland,Mountain Theme
1982,Béla Fleck,Punchdrunk
1982,Circle Jerks,Question Authority
1982,Clara Nunes,Nação
1982,Daniel Johnston,To Go Home
1982,Daniel Johnston,The Story Of An Artist
1982,David & Steve Gordon,Evenglow
1982,David Bowie,Baal's Hymn
1982,Dead Kennedys,Halloween
1982,Descendents,I'm Not A Loser
1982,Dexys Midnight Runners,Until I Believe In My Soul
1982,Frl.Menke,Komm Computer
1982,Geier Sturzflug,Bruttosozialprodukt
1982,Juan Carlos Baglietto,Tiempos Dificiles
1982,Juan Carlos Baglietto,Aunque Mañana No Estes
1982,Led Zeppelin,Poor Tom (Album Version)
1982,Lee Ritenour,Keep It Alive
1982,Los Chichos,El Te Daba Mala Vida
1982,Metallica,Hit The Lights
1982,Metallica,Metal Militia
1982,Michael Stanley Band,Spanish Nights
1982,Michael Stanley Band,Take The Time
1982,Mikey Dread,Hot Cross Bun
1982,Mikey Dread,Two Track Dub (Dub / Instrumental Reggae Music)
1982,Musical Youth,Never Gonna Give You Up
1982,Phil Collins,I Cannot Believe It's True
1982,R. Carlos Nakai,Blood Round Dance Song (World)
1982,R.E.M.,Stumble
1982,Rikk Agnew,Everyday
1982,Ronnie Milsap,Wrong End Of The Rainbow
1982,Screaming Lord Sutch,Murder In The Graveyard
1982,Spliff,Heut' Nacht
1982,Steel Pulse,Man No Sober (LP Version)
1982,The Clash,Inoculated City
1982,The Misfits,We Bite
1982,The Roches,Losing True (Album Version)
1982,Thomas Dolby,Windpower (2009 Digital Remaster)
1982,Thomas Dolby,One Of Our Submarines
1982,Thomas Dolby,Windpower
1982,Thomas Dolby,She Blinded Me With Science
1982,Y&T,Black Tiger
1983,45 Grave,Surf Bat (Album Version)
1983,Al Di Meola,Calliope
1983,Axe,Midnight  (LP Version)
1983,Bad Brains,Destroy Babylon
1983,Bad Brains,Riot Squad (1991 Digital Remaster)
1983,Bad Brains,At The Movies (1991 Digital Remaster)
1983,Charly García,Bancate Ese Defecto
1983,Daniel Johnston,Desperate Man Blues
1983,Der Plan,Schauet Her!
1983,Eddie Money,Runnin' Away
1983,Ennio Morricone,Sporco Ma Distinto
1983,Fehlfarben,Magnificent Obsession
1983,Foghat,Three Wheel Cadillac
1983,Foghat,Zig-Zag Walk
1983,Gang Of Four,Is It Love
1983,Gang Of Four,A Piece Of My Heart
1983,Hanoi Rocks,Mental Beat
1983,Heaven 17,Come Live With Me (12'' Extended Version) (2006 Digital Remaster)
1983,Isabelle Adjani,Entre Autre Pas En Traître
1983,J.J. Cale,Trouble In The City
1983,J.J. Cale,Losers
1983,Jason & The Scorchers,Help There's A Fire
1983,Johnny Copeland,Make My Home Where I Hang My Hat
1983,Kenny G,I've Been Missin' You
1983,Kitaro,The Mist
1983,Kitaro,Earth Born
1983,Luis Alberto Spinetta,Lo Siento En Mi Corazón
1983,Marcus Miller,Let Me Show You [I Just Want To Make You Smile]
1983,Public Image Ltd,(This Is Not A) Love Song (Live)
1983,Public Image Ltd,This Is Not A Love Song
1983,R.E.M.,There She Goes Again
1983,Ronnie Milsap,Don't You Know How Much I Love You
1983,Sade,Smooth Operator
1983,Simple Minds,Hunter And The Hunted (Live)
1983,T-Bone Walker,Mean Old World Blues
1983,Tania Maria,Come With Me
1983,Teena Marie,Playboy
1983,The Monroes,Arabian Night
1983,The Police,King Of Pain
1983,The Police,Wrapped Around Your Finger
1983,The Robert Cray Band,Bad Influence
1983,The Robert Cray Band,Phone Booth
1983,Van Halen,House Of Pain
1983,Vangelis,Other Side Of Antarctica
1983,Wang Chung,Dance Hall Days
1983,Y&T,Mean Streak
1983,Zebra,Take Your Fingers From My Hair  (LP Version)
1984,Alejandro Lerner,No Hace Falta Que Lo Digas
1984,Alejandro Lerner,Canta Una Canción De Amor
1984,Billy Bragg,This Guitar Says Sorry
1984,Bruce Springsteen,Working On The Highway
1984,Daniel Johnston,Oh No
1984,Devo,The 4th Dimension (LP Version)
1984,Falco,Brillantin' Brutal'
1984,False Prophets,Banana Split Republic
1984,Johnny Winter,Shed So Many Tears
1984,Jose Luis Perales,Samaritanas Del Amor
1984,Los Abuelos De La Nada,Lunes Por La Madrugada
1984,Los Chichos,No Quieras Marcharte
1984,Mad Are Sane_ The,Animal Crimes
1984,Mary Black & General Humbert,Isle of St. Helena
1984,Michael Jackson,Girl You're So Together
1984,Neil Diamond,Brooklyn On A Saturday Night
1984,Planet P Project,Pink World
1984,Planet P Project,A Boy Who Can't Talk Part 2
1984,Public Image Ltd,The Order Of Death
1984,RUN-DMC,Hard Times
1984,RUN-DMC vs. Jason Nevins,It's Like That
1984,Ray Lynch,Kathleen's Song / Ray Lynch
1984,Soda Stereo,Te Hacen Falta Vitaminas
1984,Spinal Tap,Big Bottom
1984,Steve Vai,The Attitude Song
1984,Steve Vai,Salamanders In The Sun
1984,Sugar Minott,A True
1984,Teena Marie,Light
1984,Teena Marie,Help Youngblood Get To the Freaky Party
1984,The Cars,Drive
1984,Thomas Dolby,Screen Kiss
1984,Toots & The Maytals,Sweet & Dandy
1985,Black Flag,Out Of This World
1985,Bon Jovi,Only Lonely
1985,Bruce Rowland,Rosemary Recalls
1985,Chris Rea,Josephine
1985,Dinosaur Jr.,Does It Float
1985,Eurythmics,Tous Les Garçons Et Les Filles
1985,Günter Noris,El Cumbanchero
1985,Horace Andy,Thank You Lord
1985,Irwin Goodman,Liverpoolin pokia
1985,Jason & The Scorchers,If Money Talks
1985,Jean-Jacques Goldman,La Vie Par Procuration
1985,Jerry Goldsmith,First Blood
1985,John Cale,Song Of The Valley
1985,L.a. Dream Team,Rockberry Jam
1985,Lizzy Borden,(Wake Up) Time to Die
1985,Lizzy Borden,Psychopath
1985,Lizzy Borden,Love You to Pieces
1985,Madonna,Into The Groove
1985,Michael Card,Scandalon
1985,Natalie Cole,The Gift
1985,Phil Collins,One More Night
1985,Professor Longhair,Junco Partner
1985,Professor Longhair,Doin' It
1985,Public Image Ltd,Ease
1985,RUN-DMC,King Of Rock
1985,RUN-DMC,Jam-Master Jammin'
1985,RUN-DMC,Slow And Low
1985,Red Hot Chili Peppers,American Ghost Dance (2003 Digital Remastered)
